#right,strike,expiry,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,94.2800,94.2900,94.2800,93.7700,3068,,,,,,,
C,52.14,20140816,41.9000,41.9900,41.8300,41.9800,0,49,0.5077301,0.9413028,0.0006811,0.0051310,0.0727457,0.0919309
C,52.14,20141018,41.9250,43.0250,41.2750,41.8000,0,,1.4473836,0.7515122,0.0030398,0.1217868,-0.0089217,0.1007761
C,52.14,20150117,41.8000,42.8250,41.1250,41.8250,0,959,0,0.8286846,0.0000000,0.0000000,0.0656738,0.3114354
C,52.14,20150417,41.9750,42.8500,41.1750,41.6250,0,,0.1878028,0.7492629,0.0033904,0.0364274,0.0582091,0.4234658
C,52.86,20140621,41.3750,42.3250,40.5750,41.0500,0,,2.4024135,0.9472021,0.0026987,0.0139753,-0.1112232,0.0117997
C,52.86,20140719,41.1750,41.9500,40.3500,40.9000,0,,1.6525801,0.8742104,0.0034908,0.0499075,-0.0418929,0.0417171
C,52.86,20140816,41.2000,42.2500,40.3250,40.9250,0,,1.5095304,0.8243942,0.0035063,0.0785333,-0.0255453,0.0649157
C,52.86,20141018,41.2000,42.3000,40.3750,40.8500,0,,1.4023987,0.7489016,0.0031740,0.1232138,-0.0077881,0.1032483
C,52.86,20150117,40.3200,40.3200,40.3200,40.3200,0,1498,0,0.8286846,0.0000000,0.0000000,0.0656591,0.3157360
C,52.86,20150417,41.1750,42.1250,40.5500,41.1000,0,,0.1836633,0.7475008,0.0037522,0.0394259,0.0579914,0.4280376
C,52.86,20160115,41.2000,42.6000,40.0250,41.1000,0,161,0,0.6068993,0.0000000,0.0000000,0.0478051,0.8328439
C,53.57,20140621,40.3250,41.6000,39.5500,40.1750,0,,2.2311096,0.9529322,0.0026035,0.0125211,-0.0794652,0.0121481
C,53.57,20140719,40.4500,41.2250,39.6000,40.2750,0,,1.6379844,0.8710480,0.0036076,0.0511228,-0.0438601,0.0420498
C,53.57,20140816,40.5000,41.5250,39.6000,40.2000,0,,1.4797692,0.8221520,0.0036225,0.0795358,-0.0250796,0.0658320
C,53.57,20141018,40.5000,41.4250,39.8500,40.2000,0,7,0,0.8959846,0.0000000,0.0000000,0.0710627,0.1873685
C,53.57,20150117,40.5000,41.5250,39.5750,40.1500,0,1043,0,0.8286846,0.0000000,0.0000000,0.0656446,0.3199769
C,53.57,20150417,40.5500,41.3500,39.8500,40.3000,0,,0.6446262,0.6058634,0.0051797,0.1910237,0.0282305,0.2632647
C,54.29,20140621,40.2500,40.6000,39.0000,39.5250,0,7,0,0.9923072,0.0000000,0.0000000,0.0788028,0.0133841
C,54.29,20140719,39.7750,40.7750,38.6000,39.5250,0,42,2.0335719,0.8417922,0.0035005,0.0615849,-0.1022039,0.0375175
C,54.29,20140816,39.7500,39.7500,39.7500,39.7500,0,31,2.4764626,0.7943956,0.0024809,0.0911592,-0.1102113,0.0463214
C,54.29,20141018,39.7750,40.6250,38.8500,39.6500,0,35,0.9896957,0.7632102,0.0042042,0.1151772,0.0161870,0.1284732
C,54.29,20150117,37.5000,39.4700,37.5000,39.4700,0,868,0,0.8286846,0.0000000,0.0000000,0.0656299,0.3242775
C,54.29,20150417,39.7750,40.6500,39.0500,39.4750,0,,2.2268643,0.6735592,0.0010520,0.1340225,0.0057452,0.0860705
C,54.29,20160115,39.9500,41.1250,38.6000,39.6250,0,903,0,0.6068993,0.0000000,0.0000000,0.0477760,0.8553745
C,55,20140621,39.1000,40.3750,38.3000,38.7500,0,,2.1443849,0.9510995,0.0028107,0.0129921,-0.0792171,0.0124570
C,55,20140719,39.0750,39.8250,38.1500,38.8250,0,49,3.1376936,0.8158690,0.0025716,0.0698060,-0.2308446,0.0279553
C,55,20140816,39.1750,40.0250,38.2750,38.9500,0,,2.4363131,0.7913062,0.0025552,0.0923677,-0.1099182,0.0470678
C,55,20141018,39.0500,40.1750,37.8250,38.9500,0,,1.3457973,0.7391906,0.0034460,0.1283735,-0.0085787,0.1067149
C,55,20150117,39.3900,39.3900,39.3900,39.3900,5,315,0,0.8286846,0.0000000,0.0000000,0.0656153,0.3285183
C,55,20150417,39.4000,40.5000,37.8750,38.5500,0,,2.1848224,0.6699269,0.0011012,0.1376416,0.0050774,0.0891570
C,55.71,20140621,38.5500,39.3000,37.4250,37.6000,0,154,0,0.9923072,0.0000000,0.0000000,0.0787737,0.0137342
C,55.71,20140719,38.4000,39.1250,37.8250,38.2250,0,,1.5620618,0.8637651,0.0039852,0.0538559,-0.0449989,0.0434349
C,55.71,20140816,38.3500,39.4000,37.4750,38.0500,0,,0.4497513,0.9407537,0.0008529,0.0056914,0.0726642,0.0981882
C,55.71,20141018,38.5250,39.4750,37.5250,38.0500,0,,1.3066323,0.7363794,0.0035894,0.1298243,-0.0075948,0.1089458
C,55.71,20150117,38.5400,38.5400,38.5400,38.5400,2,532,0,0.8286846,0.0000000,0.0000000,0.0656008,0.3327592
C,55.71,20150417,38.3750,39.2500,37.7000,38.2500,0,,1.3024519,0.6086709,0.0025372,0.1890546,0.0087768,0.1649753
C,55.71,20160115,38.6750,39.7250,37.2500,38.2250,0,308,0,0.6068993,0.0000000,0.0000000,0.0477472,0.8777475
C,56.43,20140621,37.9250,38.7250,36.8500,37.3000,0,,2.0407749,0.9503193,0.0029986,0.0131909,-0.0740837,0.0127965
C,56.43,20140719,37.6250,38.6250,36.4750,37.5000,0,35,0.9246381,0.9316061,0.0030131,0.0241025,0.0438356,0.0531589
