BBDO,BBDO,14.87,5212,51342
BBEP,BBEP,19.97,118081,4881165
BBF,BBF,13.33,2745,127270
BBG,BBG,25.61,556290,21931392
BBGI,BBGI,9.1,5774,33179
BBH,BBH,90.97,148134,12167040
BBK,BBK,14.8,8977,221709
BBL,BBL,61.75,448426,25270873
BBN,BBN,20.21,160024,1552073
BBNK,BBNK,23.76,23973,348600
BBOX,BBOX,24.34,31075,849644
BBRC,BBRC,21.155,5998,125298
BBRG,BBRG,14.11,73860,890805
BBRY,BBRY,8.08,23100345,111652768
BBSI,BBSI,59.57,67302,2832059
BBT,BBT,40.18,3233783,99891369
BBVA,BBVA,12.01,1380800,14044707
BBW,BBW,9.64,43797,361848
BBX,BBX,19.42,44788,564453
BBY,BBY,26.42,2779547,114596125
BC,BC,45.28,394260,24538112
BCA,BCA,17.61,88847,492777
BCBP,BCBP,13.08,3993,74528
BCC,BCC,28.63,167472,4852169
BCE,BCE,43.12,396597,19834225
BCEI,BCEI,44.17,931970,24617211
BCF,BCF,8.9,135114,945327
BCH,BCH,75.42,53994,4725106
BCM,BCM,40.64,6520,506919
BCO,BCO,28.54,180177,6552716
BCOM,BCOM,16.5,4945,32010
BCOR,BCOR,19.69,555860,9528530
BCOV,BCOV,9.83,193438,2524439
BCPC,BCPC,52.12,264680,4994176
BCR,BCR,147.96,427639,71049513
BCRH,BCRH,17.43,11187,464934
BCRX,BCRX,10.58,386498,6541242
BCS,BCS,15.69,2320894,32087577
BCV,BCV,19.53,6673,201292
BCX,BCX,11.53,132650,1166254
BDBD,BDBD,17.62,544851,6090940
BDC,BDC,69.61,122432,11355522
BDCL,BDCL,28.11,77897,2207998
BDCS,BDCS,26.22,33250,381786
BDD,BDD,7.36,566,30773
BDE,BDE,12.23,77348,990927
BDG,BDG,16.78,901,16095
BDGE,BDGE,26.71,15586,361161
BDJ,BDJ,7.93,399257,1460353
BDL,BDL,14.65,1569,59324
BDMS,BDMS,18,2481,11624
BDN,BDN,14.46,680002,10950023
BDR,BDR,0.9,8676,2884
BDSI,BDSI,8.44,337058,3178913
BDX,BDX,117.07,431946,61564638
BEAM,BEAM,83.29,922450,115811301
BEAT,BEAT,10.09,326850,2745993
BEAV,BEAV,86.79,627983,48041628
